"cust.ID	age-band 	Debt.To.Income.Ratio",
"84563	25-39	0!",
"78765	25-40	13.76!",
"24590	25-41	8.77!",
"9061	25-42	12.24!",
"47011	25-43	16.41!",
"21789	25-44	29.82!",
"29653	25-45	12.69!",
"100440		19.22!",
"88526	30-40	14.78!",
"101715	30-40	10.36!",
"103374	30-40	10.17!",
"77844	30-40	33.43!",
"75012	30-40	19.16!",
"73179	30-40	8.83!",
"3162	30-40	9.77!",
"2386	30-40	5.59!",
"57120	30-40	29.26!",
"99360	30-40	14.88!",
"54619	30-40	12.06!",
"50633	30-40	14.22 !",
"48560	30-40	11.08!",
"2148	30-40	8.57!",
"10441	30-40	13.98!",
"103448	30-40	20.3!",
"14052	30-40	11.78!",
"13863	30-40	0.6!",
"81254	30-40	9.3!",
"61835	30-40	31.12!",
"51625	30-40	12.46!",
"18629	30-40	5.62!",
"73376	30-40	1.7!",
"34961	30-40	13.79!",
"103249	30-40	22.81!",
"82112	30-40	14.66!",
"457	30-40	18.52!",
"11779	30-40	10.77!",
"34144	30-40	11.27!",
"95951	30-40	6.1!",
"1034	30-40	1.92!",
"2645	30-40	3.89!",
"28738	30-40	20.24!",
"30600	30-40	15.24!",
"72499	30-40	27.88!",
"22700	30-40	23.05!",
"63404	30-40	33.56!",
"102234	30-40	15.71!",
"84318	30-40	21!",
"71538	30-40	19.58!",
"7603	30-40	18.99!",
"69401	30-40	25.32!",
"60968	30-40	13.34!",
"10326	30-40	15.17!",
"57472	30-40	33.3!",
"7565	30-40	5.16!",
"84273	30-40	11.31!",
"22150	30-40	8.74!",
"46024	30-40	4.81!",
"15315	30-40	21.23!",
"49872	30-40	15.93!",
"84917	30-40	18.96!",
"103250	30-40	2.67!",
"17315	30-40	17.92!",
"28032	30-40	5.26!",
"74945	30-40	19.92!",
"33225	30-40	19.26!",
"38534	30-40	24.24!",
"45644	30-40	18.31!",
"77074	30-40	30.95!",
"44426	30-40	13.87!",
"47862	30-40	13.64!",
"5465	30-40	8.89!",
"81174	30-40	14.9!",
"88558	30-40	16.71!",
"3219	30-40	11.81!",
"33641	30-40	10.34!",
"51326	30-40	14.75!",
"79041	30-40	26.96!",
"103384	30-40	11.21!",
"26867	30-40	8.37!",
"69249	30-40	17.37!",
"20592	30-40	23.15!",
"59206	30-40	21.84!",
"48554	30-40	1.3!",
"59160	30-40	16.43!",
"93455	30-40	15.51!",
"13393	30-40	9.22!",
"1670	30-40	17.59!",
"27520	30-40	17.95!",
"19466	30-40	11.71!",
"65134	30-40	16.46!",
"82079	30-40	20.16!",
"58346	30-40	20.44!",
"8692	30-40	12.5!",
"10594	30-40	3.9!",
"38373	30-40	14.98!",
"50781	30-40	21.54!",
"16414	30-40	13.94!",
"77151	30-40	15.71!",
"59011	30-40	5.95!",
"27095	30-40	22.26!",
"77494	30-40	33.42!",
"16667	30-40	15.79!",
"100288	30-40	32.76!",
"48798	30-40	6.71!",
"75168	30-40	17.4!",
"28368	30-40	22.53!",
"40027	30-40	19.53!",
"89600	30-40	16.73!",
"61261	30-40	2.83!",
"6521	30-40	13.42!",
"99297	30-40	27.88!",
"89582	30-40	10.79!",
"44626	30-40	14.72!",
"75067	30-40	11.05!",
"5468	30-40	1.58!",
"89627	30-40	29.01!",
"37585	30-40	17.21!",
"28205	30-40	6.3!",
"90531	30-40	17.95!",
"92989	30-40	9.41!",
"1269	30-40	14.77!",
"85464	30-40	4.48!",
"41523	30-40	2.23!",
"63133	30-40	15.64!",
"36576	30-40	22.03!",
"43572	30-40	22.1!",
"55803	30-40	5.9!",
"19636	30-40	12.13!",
"53054	30-40	17.37!",
"75785	30-40	10.47!",
"69242	30-40	9.05!",
"39692	30-40	14.61!",
"45245	30-40	6.68!",
"28326	30-40	13.71!",
"41074	30-40	12.33!",
"68962	30-40	13.26!",
"16221	30-40	6.41!",
"77324	30-40	32.56!",
"84110	30-40	20.95!",
"8549	30-40	17.04!",
"36716	30-40	9.53!",
"104040	30-40	12.05!",
"55501	30-40	4.51!",
"47059	30-40	17.51!",
"41413	30-40	22.64!",
"12958	30-40	16.98!",
"28280	30-40	23.18!",
"85721	30-40	18.72!",
"46056	30-40	5.63!",
"15164	30-40	8.91!",
"30840	30-40	16.16!",
"32593	30-40	1.99!",
"25133	30-40	21.46!",
"47228	30-40	15.5!",
"52698	30-40	6.58!",
"40113	30-40	23.02!",
"103784	30-40	20.5!",
"37291	30-40	16.06!",
"35615	30-40	17.98!",
"73893	30-40	15.22!",
"1337	30-40	1.84!",
"80404	30-40	9!",
"64690	30-40	22.5!",
"51424	30-40	20.18!",
"39094	30-40	26.06!",
"72766	30-40	13.1!",
"53648	30-40	2.93!",
"45836	30-40	18.38!",
"80219	30-40	20.11!",
"92363	30-40	27.59!",
"9468	30-40	5.1!",
"9244	30-40	20.73!",
"33068	30-40	20.72!",
"80059	30-40	23.81!",
"63941	30-40	17.4!",
"10642	30-40	16.87!",
"60761	30-40	12.04!",
"46017	30-40	13.14!",
"72670	30-40	21.21!",
"73765	30-40	11.8!",
"66710	30-40	30.62!",
"91334	30-40	19.59!",
"81620	30-40	27.69!",
"52405	30-40	4.9!",
"26369	30-40	21.11!",
"83058	30-40	34.41!",
"9885	30-40	18.73!",
"85272	30-40	8.61!",
"83505	30-40	26.14!",
"80200	30-40	25.91!",
"88893	30-40	3.01!",
"102595	30-40	1.03!",
"46350	30-40	11.23!",
"93551	30-40	11.31!",
"32249	30-40	9!",
"72604	30-40	30.24!",
"37383	30-40	20.03!",
"33155	30-40	9.67!",
"46059	30-40	15.69!",
"2768	30-40	22.3!",
"13767	30-40	16.69!",
"61703	30-40	30.4!",
"63256	30-40	15.23!",
"647	30-40	10.42!",
"4750	30-40	8.34!",
"11084	30-40	6.99!",
"32628	30-40	8.93!",
"96514	30-40	4.68!",
"34367	30-40	20.7!",
"78618	30-40	16.21!",
"54880	30-40	11.66!",
"68413	30-40	28.39!",
"70321	30-40	8.61!",
"21203	30-40	10.59!",
"71540	30-40	16.48!",
"8698	30-40	2.14!",
"60192	30-40	3.98!",
"62403	30-40	20.05!",
"33557	30-40	11.79!",
"80041	30-40	25.49!",
"14469	30-40	8.84!",
"14213	30-40	20.7!",
"91173	30-40	1.79!",
"55690	30-40	23.8!",
"12951	30-40	14.84!",
"2891	30-40	6.82!",
"24464	30-40	6.39!",
"47998	30-40	16.14!",
"30184	30-40	8.7!",
"75793	30-40	12.49!",
"56674	30-40	17!",
"41282	30-40	13.18!",
"55924	30-40	20.37!",
"84283	30-40	27.71!",
"101158	30-40	10.67!",
"38741	30-40	10.61!",
"20799	30-40	6.8!",
"3414	30-40	4.89!",
"102270	30-40	18.96!",
"60439	30-40	7.23!",
"13020	30-40	11.37!",
"72919	30-40	14.11!",
"103835	30-40	17.71!",
"85172	30-40	13.03!",
"77251	30-40	2.85!",
"76916	30-40	12.86!",
"41828	30-40	23.18!",
"20782	30-40	7.02!",
"98493	30-40	25.33!",
"7167	30-40	16.04!",
"38073	30-40	17!",
"104101	30-40	14.43!",
"83841	30-40	24.98!",
"1973	30-40	12.42!",
"93403	30-40	12.35!",
"3112	30-40	8.21!",
"29283	30-40	12.85!",
"29410	30-40	24.74!",
"43053	30-40	25.03!",
"27048	30-40	20.81!",
"45941	30-40	21.82!",
"47764	30-40	2.93!",
"45427	30-40	2.13!",
"62900	30-40	5.65!",
"73978	30-40	5.46!",
"96780	30-40	19.56!",
"30070	30-40	1.69!",
"29858	30-40	20.1!",
"26457	30-40	14.01!",
"13181	30-40	8.91!",
"65055	30-40	20.07!",
"84897	30-40	20.82!",
"14831	30-40	11.15!",
"6128	30-40	18.6!",
"4909	30-40	19.1!",
"77887	30-40	14.69!",
"7002	30-40	9.17!",
"59271	30-40	10.99!",
"5724	30-40	13.42!",
"60151	30-40	2.21!",
"53424	30-40	14.89!",
"34650	30-40	28.63!",
"96988	30-40	7.56!",
"87513	30-40	3.94!",
"45047	30-40	10.75!",
"23575	30-40	11.72!",
"2164	30-40	16.52!",
"3591	30-40	23.8!",
"20785	30-40	19.43!",
"65776	30-40	18.24!",
"41200	30-40	13.07!",
"66429	30-40	1.92!",
"71481	30-40	13.37!",
"32985	30-40	10.97!",
"49619	30-40	23.88!",
"12150	30-40	1.5!",
"54131	30-40	21.31!",
"39492	30-40	8.69!",
"94232	30-40	20.51!",
"98621	30-40	8.48!",
"73371	30-40	8.43!",
"30397	30-40	11.16!",
"64262	30-40	33.12!",
"71492	30-40	15.82!",
"88920	30-40	33.9!",
"91571	30-40	16.24!",
"57430	30-40	16.04!",
"77113	30-40	27.41!",
"98787	30-40	13.99!",
"72539	30-40	8.95!",
"71247	30-40	29.45!",
"4644	30-40	0.48!",
"98762	30-40	12.94!",
"100313	30-40	34.06!",
"38905	30-40	7.75!",
"86747	30-40	31.71!",
"90712	30-40	8.02!",
"52440	30-40	18.55!",
"70424	30-40	17.12!",
"19701	30-40	16.98!",
"27710	30-40	0!",
"16631	30-40	22.47!",
"102645	30-40	14.68!",
"36706	30-40	12.07!",
"78789	30-40	17.4!",
"32191	30-40	9.35!",
"72346	30-40	11.32!",
"45097	30-40	8.99!",
"73434	30-40	26.7!",
"77867	30-40	24.25!",
"78519	30-40	4.61!",
"16597	30-40	22.13!",
"12007	30-40	20.85!",
"98373	30-40	19.01!",
"7255	30-40	14.79!",
"70443	30-40	11.08!",
"39439	30-40	13.09!",
"74388	30-40	13.11!",
"26822	30-40	13.86!",
"46097	30-40	19.23!",
"73614	30-40	14.52!",
"56643	30-40	18.42!",
"12248	30-40	4.05!",
"21508	30-40	5.74!",
"61143	30-40	6.16!",
"84593	30-40	15.33!",
"59886	30-40	30.71!",
"77363	30-40	34.91!",
"60963	30-40	9.55!",
"14044	30-40	14.43!",
"99706	30-40	21.8!",
"92795	30-40	26.54!",
"62884	30-40	7.95!",
"37863	30-40	17.86!",
"40856	30-40	4.48!",
"40489	30-40	5.81!",
"88273	30-40	10.89!",
"51379	30-40	21.11!",
"59279	30-40	5.59!",
"28189	30-40	11.34!",
"52129	30-40	6.51!",
"50817	30-40	16.78!",
"101798	30-40	20.56!",
"34591	30-40	2.55!",
"75818	30-40	16.59!",
"988	30-40	7.17!",
"94218	30-40	18.52!",
"12860	30-40	12.86!",
"21867	30-40	9.2!",
"28518	30-40	21.04!",
"60875	30-40	5.42!",
"60688	30-40	26.53!",
"92717	30-40	7.96!",
"36283	30-40	21.69!",
"27572	30-40	21.16!",
"16548	30-40	8.08!",
"74632	30-40	18.61!",
"15083	30-40	8.33!",
"96700	30-40	20.62!",
"78382	30-40	4.36!",
"11185	30-40	0.72!",
"30824	30-40	19.52!",
"47097	30-40	12.13!",
"97364	30-40	15.64!",
"80353	30-40	24.51!",
"57190	30-40	28.28!",
"83869	30-40	20.46!",
"30718	30-40	10.63!",
"88084	30-40	15.91!",
"89884	30-40	3.98!",
"38688	30-40	8.07!",
"9020	30-40	4.8!",
"23710	30-40	19.25!",
"5062	30-40	15.28!",
"19695	30-40	22.72!",
"28147	30-40	23.25!",
"96371	30-40	20.07!",
"96693	30-40	18.33!",
"69885	30-40	4.94!",
"34440	30-40	4.73!",
"90560	30-40	14.27!",
"65889	30-40	9.33!",
"62747	30-40	31.34!",
"102138	30-40	16.72!",
"79820	30-40	13.83!",
"9162	30-40	22.14!",
"8382	30-40	18.04!",
"86783	30-40	10.08!",
"70606	30-40	7.14!",
"14407	30-40	14.65!",
"65335	30-40	7.78!",
"70177	30-40	19.98!",
"2868	30-40	11.55!",
"3768	30-40	9.41!",
"3962	30-40	10.45!",
"31995	30-40	10.3!",
"10737	30-40	3!",
"98671	30-40	24.45!",
"86099	30-40	11.19!",
"7816	30-40	17.51!",
"57483	30-40	7.75!",
"18088	30-40	21.36!",
"91412	30-40	10.75!",
"22667	30-40	24.17!",
"41426	30-40	11.95!",
"52333	30-40	17.08!",
"101800	30-40	24.59!",
"55598	30-40	22.48!",
"82435	30-40	34.74!",
"69446	30-40	32.1!",
"9349	30-40	19.88!",
"94792	30-40	6.74!",
"20367	30-40	9.54!",
"99867	30-40	22.74!",
"19321	30-40	12.32!",
"101907	30-40	12.77!",
"66132	30-40	13.13!",
"53762	30-40	7.97!",
"90239	30-40	6.07!",
"76933	30-40	17.16!",
"75321	30-40	14.02!",
"86117	30-40	17.07!",
"23566	30-40	9.9!",
"89511	30-40	24.74!",
"48808	30-40	26.09!",
"56404	30-40	17.04!",
"68999	30-40	11.21!",
"94994	30-40	20.98!",
"40131	30-40	14.88!",
"92024	30-40	11.12!",
"36837	30-40	15.87!",
"79248	30-40	19.61!",
"61123	30-40	4.16!",
"93253	30-40	29.55!",
"88420	30-40	10.61!",
"1342	30-40	0.33!",
"240	30-40	3.66!",
"42222	30-40	4.02!",
"6712	30-40	10.81!",
"5923	30-40	2.19!",
"14958	30-40	4!",
"98141	30-40	26.32!",
"70193	30-40	24.78!",
"82882	30-40	20.26!",
"61576	30-40	16.93!",
"19255	30-40	16.15!",
"50874	30-40	11.86!",
"5166	30-40	3.65!",
"45994	30-40	13.67!",
"27317	30-40	23.97!",
"71470	30-40	28.8!",
"88845	30-40	16.58!",
"6211	30-40	21.28!",
"62740	30-40	15.14!",
"65443	30-40	9.31!",
"22659	30-40	9.55!",
"12015	30-40	12.2!",
"74206	30-40	18.82!",
"80944	30-40	30.97!",
"6011	30-40	21.88!",
"43999	30-40	12.8!",
"9839	30-40	12.51!",
"67421	30-40	7.97!",
"64020	30-40	32.21!",
"3158	30-40	13.06!",
"61683	30-40	15.02!",
"101340	30-40	12.89!",
"58359	30-40	17.79!",
"61151	30-40	34.56!",
"43056	30-40	22.24!",
"57727	30-40	6.51!",
"48319	30-40	10.02!",
"4537	30-40	11.55!",
"23087	30-40	16.44!",
"85008	30-40	25.48!",
"73664	30-40	6.91!",
"26886	30-40	9.46!",
"98321	30-40	10.55!",
"37386	30-40	24.12!",
"104012	30-40	7.43!",
"101002	30-40	28.84!",
"100217	30-40	27.06!",
"80275	30-40	10.2!",
"88001	30-40	9.33!",
"58595	30-40	3.18!",
"45529	30-40	7.24!",
"53780	30-40	14.82!",
"18439	30-40	0.58!",
"64307	30-40	18.81!",
"22312	30-40	19.45!",
"67672	30-40	6.46!",
"84633	30-40	3.11!",
"72220	30-40	15.95!",
"45525	30-40	0.62!",
"77606	30-40	28.54!",
"18362	30-40	7.53!",
"88279	30-40	28.87!",
"59735	30-40	21.54!",
"15274	30-40	18.35!",
"10176	30-40	10.76!",
"68176	30-40	22.45!",
"23911	30-40	16.89!",
"37380	30-40	5.33!",
"103512	30-40	13.4!",
"11258	30-40	11.39!",
"18916	30-40	20.17!",
"68113	30-40	29.48!",
"45225	30-40	3.45!",
"7752	30-40	21.03!",
"44054	30-40	9.16!",
"102374	30-40	18.08!",
"96613	30-40	19.63!",
"21574	30-40	16.8!",
"101208	30-40	14.19!",
"39590	30-40	11.77!",
"41014	30-40	8.6!",
"54201	30-40	14.74!",
"88031	30-40	12.93!",
"99787	30-40	30.36!",
"67649	30-40	23.59!",
"74713	30-40	3.25!",
"54692	30-40	3.58!",
"68406	30-40	9.16!",
"76218	30-40	23.36!",
"12895	30-40	17.55!",
"30497	30-40	7.77!",
"57456	30-40	20.15!",
"27671	30-40	21.7!",
"77149	30-40	17.82!",
"63971	30-40	33.47!",
"33181	30-40	17.1!",
"92244	30-40	19.3!",
"96798	30-40	3.23!",
"27764	30-40	10.23!",
"51684	30-40	12.99!",
"2882	30-40	13.16!",
"42555	30-40	5.02!",
"41287	30-40	7.65!",
"47488	30-40	20.8!",
"40094	30-40	15.98!",
"46021	30-40	9!",
"79106	30-40	24.82!",
"NA	30-40	16.58!",
"20309	30-40	18.78!",
"39481	30-40	5.5!",
"9115	30-40	10.25!",
"84592	30-40	9.07!",
"80956	30-40	24.65!",
"102295	30-40	0.47!",
"91426	30-40	20.68!",
"4873	30-40	17.46!",
"83586	30-40	20.25!",
"42743	30-40	20.99!",
"325	30-40	10.37!",
"99898	30-40	32.2!",
"7254	30-40	17.15!",
"74613	30-40	19.97!",
"25767	30-40	5.2!",
"23214	30-40	9.28!",
"98634	30-40	18.67!",
"83570	30-40	26.56!",
"29775	30-40	7.9!",
"21900	30-40	20.32!",
"62763	30-40	3.82!",
"48676	30-40	16.76!",
"5511	30-40	15.88!",
"32601	30-40	6.43!",
"52823	30-40	23.89!",
"46870	30-40	29.51!",
"38826	30-40	3.9!",
"587	30-40	20.93!",
"76450	30-40	19!",
"17877	30-40	14.12!",
"5880	30-40	0.17!",
"224	30-40	12.81!",
"5858	30-40	17.44!",
"87620	30-40	17.11!",
"99541	30-40	15!",
